Graph String Name,Masrik Form of Adjacency Matrix
F??Fw,"[0 1 1 1 1 1 1]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]"
F?AFo,"[0 1 1 1 1 1 0]
[1 0 0 0 0 0 1]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]
[0 1 0 0 0 0 0]"
F?AFw,"[0 1 1 1 1 1 1]
[1 0 1 0 0 0 0]
[1 1 0 0 0 0 0]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]"
F?BDo,"[0 1 1 0 0 0 0]
[1 0 0 1 0 0 0]
[1 0 0 0 0 0 0]
[0 1 0 0 1 1 1]
[0 0 0 1 0 0 0]
[0 0 0 1 0 0 0]
[0 0 0 1 0 0 0]"
F?B@w,"[0 1 1 1 0 0 0]
[1 0 0 0 1 1 1]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]
[0 1 0 0 0 0 0]
[0 1 0 0 0 0 0]
[0 1 0 0 0 0 0]"
F?BFo,"[0 1 1 1 1 1 0]
[1 0 0 0 0 0 1]
[1 0 0 0 0 0 1]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]
[0 1 1 0 0 0 0]"
F?BDw,"[0 1 1 1 0 0 0]
[1 0 1 0 1 1 1]
[1 1 0 0 0 0 0]
[1 0 0 0 0 0 0]
[0 1 0 0 0 0 0]
[0 1 0 0 0 0 0]
[0 1 0 0 0 0 0]"
F?BFw,"[0 1 1 1 1 1 1]
[1 0 1 1 0 0 0]
[1 1 0 0 0 0 0]
[1 1 0 0 0 0 0]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]"
F?Bco,"[0 1 1 1 0 0 0]
[1 0 0 0 1 0 0]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]
[0 1 0 0 0 1 1]
[0 0 0 0 1 0 0]
[0 0 0 0 1 0 0]"
F?Beo,"[0 1 1 1 0 0 0]
[1 0 0 0 1 0 0]
[1 0 0 0 1 0 0]
[1 0 0 0 0 0 0]
[0 1 1 0 0 1 1]
[0 0 0 0 1 0 0]
[0 0 0 0 1 0 0]"
F?Bcw,"[0 1 1 1 1 0 0]
[1 0 1 0 0 1 1]
[1 1 0 0 0 0 0]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]
[0 1 0 0 0 0 0]
[0 1 0 0 0 0 0]"
F?Bfo,"[0 1 1 1 1 1 0]
[1 0 0 0 0 0 1]
[1 0 0 0 0 0 1]
[1 0 0 0 0 0 1]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]
[0 1 1 1 0 0 0]"
F?Bew,"[0 1 1 1 1 0 0]
[1 0 1 1 0 1 1]
[1 1 0 0 0 0 0]
[1 1 0 0 0 0 0]
[1 0 0 0 0 0 0]
[0 1 0 0 0 0 0]
[0 1 0 0 0 0 0]"
F?Bfw,"[0 1 1 1 1 1 1]
[1 0 1 1 1 0 0]
[1 1 0 0 0 0 0]
[1 1 0 0 0 0 0]
[1 1 0 0 0 0 0]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]"
F?BvO,"[0 1 1 1 1 0 0]
[1 0 0 0 0 1 0]
[1 0 0 0 0 1 0]
[1 0 0 0 0 1 0]
[1 0 0 0 0 0 0]
[0 1 1 1 0 0 1]
[0 0 0 0 0 1 0]"
F?Bvo,"[0 1 1 1 1 1 0]
[1 0 0 0 0 0 1]
[1 0 0 0 0 0 1]
[1 0 0 0 0 0 1]
[1 0 0 0 0 0 1]
[1 0 0 0 0 0 0]
[0 1 1 1 1 0 0]"
F?BvW,"[0 1 1 1 1 1 0]
[1 0 1 1 1 0 1]
[1 1 0 0 0 0 0]
[1 1 0 0 0 0 0]
[1 1 0 0 0 0 0]
[1 0 0 0 0 0 0]
[0 1 0 0 0 0 0]"
F?Bvw,"[0 1 1 1 1 1 1]
[1 0 1 1 1 1 0]
[1 1 0 0 0 0 0]
[1 1 0 0 0 0 0]
[1 1 0 0 0 0 0]
[1 1 0 0 0 0 0]
[1 0 0 0 0 0 0]"
F?B~o,"[0 1 1 1 1 1 0]
[1 0 0 0 0 0 1]
[1 0 0 0 0 0 1]
[1 0 0 0 0 0 1]
[1 0 0 0 0 0 1]
[1 0 0 0 0 0 1]
[0 1 1 1 1 1 0]"
F?B~w,"[0 1 1 1 1 1 1]
[1 0 1 1 1 1 1]
[1 1 0 0 0 0 0]
[1 1 0 0 0 0 0]
[1 1 0 0 0 0 0]
[1 1 0 0 0 0 0]
[1 1 0 0 0 0 0]"
F?`F_,"[0 1 1 1 1 0 0]
[1 0 0 0 0 1 0]
[1 0 0 0 0 0 1]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]
[0 1 0 0 0 0 0]
[0 0 1 0 0 0 0]"
F?`Fo,"[0 1 1 1 1 1 0]
[1 0 1 0 0 0 0]
[1 1 0 0 0 0 0]
[1 0 0 0 0 0 1]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]
[0 0 0 1 0 0 0]"
F?`Fw,"[0 1 1 1 1 1 1]
[1 0 1 0 0 0 0]
[1 1 0 0 0 0 0]
[1 0 0 0 1 0 0]
[1 0 0 1 0 0 0]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]"
F?bB_,"[0 1 1 1 0 0 0]
[1 0 0 0 1 0 0]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]
[0 1 0 0 0 1 0]
[0 0 0 0 1 0 1]
[0 0 0 0 0 1 0]"
F?bF_,"[0 1 1 1 1 0 0]
[1 0 0 0 0 1 1]
[1 0 0 0 0 1 0]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]
[0 1 1 0 0 0 0]
[0 1 0 0 0 0 0]"
F?bDo,"[0 1 1 0 0 0 0]
[1 0 0 1 1 0 0]
[1 0 0 0 0 0 0]
[0 1 0 0 1 1 1]
[0 1 0 1 0 0 0]
[0 0 0 1 0 0 0]
[0 0 0 1 0 0 0]"
F?bBo,"[0 1 1 1 1 0 0]
[1 0 0 0 0 1 0]
[1 0 0 0 0 0 1]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]
[0 1 0 0 0 0 1]
[0 0 1 0 0 1 0]"
F?bDg,"[0 1 1 1 0 0 0]
[1 0 1 0 1 1 0]
[1 1 0 0 0 0 1]
[1 0 0 0 0 0 0]
[0 1 0 0 0 0 0]
[0 1 0 0 0 0 0]
[0 0 1 0 0 0 0]"
F?bFo,"[0 1 1 1 1 1 0]
[1 0 1 0 0 0 1]
[1 1 0 0 0 0 0]
[1 0 0 0 0 0 1]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]
[0 1 0 1 0 0 0]"
F?bFg,"[0 1 1 1 1 1 0]
[1 0 1 0 0 0 1]
[1 1 0 1 0 0 0]
[1 0 1 0 0 0 0]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]
[0 1 0 0 0 0 0]"
F?bFw,"[0 1 1 1 1 1 1]
[1 0 1 1 0 0 0]
[1 1 0 0 1 0 0]
[1 1 0 0 0 0 0]
[1 0 1 0 0 0 0]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]"
F?`e_,"[0 1 1 0 0 0 0]
[1 0 0 1 0 0 0]
[1 0 0 0 0 0 0]
[0 1 0 0 1 1 0]
[0 0 0 1 0 0 1]
[0 0 0 1 0 0 0]
[0 0 0 0 1 0 0]"
F?`cg,"[0 1 1 1 0 0 0]
[1 0 0 0 1 1 0]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]
[0 1 0 0 0 0 1]
[0 1 0 0 0 0 0]
[0 0 0 0 1 0 0]"
F?`f_,"[0 1 1 1 1 0 0]
[1 0 0 0 0 1 0]
[1 0 0 0 0 0 1]
[1 0 0 0 0 0 1]
[1 0 0 0 0 0 0]
[0 1 0 0 0 0 0]
[0 0 1 1 0 0 0]"
F?`eo,"[0 1 1 0 0 0 0]
[1 0 0 1 0 0 0]
[1 0 0 0 0 0 0]
[0 1 0 0 1 1 1]
[0 0 0 1 0 1 0]
[0 0 0 1 1 0 0]
[0 0 0 1 0 0 0]"
F?`eg,"[0 1 1 1 0 0 0]
[1 0 1 0 1 1 0]
[1 1 0 0 0 0 0]
[1 0 0 0 0 0 0]
[0 1 0 0 0 0 1]
[0 1 0 0 0 0 0]
[0 0 0 0 1 0 0]"
F?`cw,"[0 1 1 1 0 0 0]
[1 0 0 0 1 1 1]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]
[0 1 0 0 0 1 0]
[0 1 0 0 1 0 0]
[0 1 0 0 0 0 0]"
F?`fo,"[0 1 1 1 1 1 0]
[1 0 1 0 0 0 0]
[1 1 0 0 0 0 0]
[1 0 0 0 0 0 1]
[1 0 0 0 0 0 1]
[1 0 0 0 0 0 0]
[0 0 0 1 1 0 0]"
F?`fg,"[0 1 1 1 1 1 0]
[1 0 1 1 0 0 0]
[1 1 0 0 0 0 0]
[1 1 0 0 0 0 0]
[1 0 0 0 0 0 1]
[1 0 0 0 0 0 0]
[0 0 0 0 1 0 0]"
F?`ew,"[0 1 1 1 0 0 0]
[1 0 1 0 1 1 1]
[1 1 0 0 0 0 0]
[1 0 0 0 0 0 0]
[0 1 0 0 0 1 0]
[0 1 0 0 1 0 0]
[0 1 0 0 0 0 0]"
F?`fw,"[0 1 1 1 1 1 1]
[1 0 1 1 0 0 0]
[1 1 0 0 0 0 0]
[1 1 0 0 0 0 0]
[1 0 0 0 0 1 0]
[1 0 0 0 1 0 0]
[1 0 0 0 0 0 0]"
F?aN_,"[0 1 1 1 1 0 0]
[1 0 0 0 0 1 1]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]
[0 1 0 0 0 0 1]
[0 1 0 0 0 1 0]"
F?aNo,"[0 1 1 1 1 1 0]
[1 0 1 0 0 0 1]
[1 1 0 0 0 0 1]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]
[0 1 1 0 0 0 0]"
F?aNw,"[0 1 1 1 1 1 1]
[1 0 1 1 0 0 0]
[1 1 0 1 0 0 0]
[1 1 1 0 0 0 0]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]"
F?bao,"[0 1 1 1 0 0 0]
[1 0 0 0 1 0 0]
[1 0 0 0 0 1 0]
[1 0 0 0 0 0 0]
[0 1 0 0 0 1 0]
[0 0 1 0 1 0 1]
[0 0 0 0 0 1 0]"
F?bf_,"[0 1 1 1 1 0 0]
[1 0 0 0 0 1 1]
[1 0 0 0 0 1 0]
[1 0 0 0 0 1 0]
[1 0 0 0 0 0 0]
[0 1 1 1 0 0 0]
[0 1 0 0 0 0 0]"
F?beo,"[0 1 1 1 0 0 0]
[1 0 0 0 1 1 0]
[1 0 0 0 1 0 0]
[1 0 0 0 0 0 0]
[0 1 1 0 0 1 1]
[0 1 0 0 1 0 0]
[0 0 0 0 1 0 0]"
F?bbo,"[0 1 1 1 1 0 0]
[1 0 0 0 0 1 0]
[1 0 0 0 0 0 1]
[1 0 0 0 0 0 1]
[1 0 0 0 0 0 0]
[0 1 0 0 0 0 1]
[0 0 1 1 0 1 0]"
F?beg,"[0 1 1 1 1 0 0]
[1 0 1 1 0 1 0]
[1 1 0 0 0 0 1]
[1 1 0 0 0 0 0]
[1 0 0 0 0 0 0]
[0 1 0 0 0 0 0]
[0 0 1 0 0 0 0]"
F?bcw,"[0 1 1 1 1 0 0]
[1 0 1 0 0 1 1]
[1 1 0 0 0 1 0]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]
[0 1 1 0 0 0 0]
[0 1 0 0 0 0 0]"
F?baw,"[0 1 1 1 1 0 0]
[1 0 1 0 0 1 1]
[1 1 0 0 0 0 0]
[1 0 0 0 0 1 0]
[1 0 0 0 0 0 0]
[0 1 0 1 0 0 0]
[0 1 0 0 0 0 0]"
F?bfo,"[0 1 1 1 1 1 0]
[1 0 1 0 0 0 1]
[1 1 0 0 0 0 0]
[1 0 0 0 0 0 1]
[1 0 0 0 0 0 1]
[1 0 0 0 0 0 0]
[0 1 0 1 1 0 0]"
F?bfg,"[0 1 1 1 1 1 0]
[1 0 1 1 1 0 0]
[1 1 0 0 0 0 1]
[1 1 0 0 0 0 0]
[1 1 0 0 0 0 0]
[1 0 0 0 0 0 0]
[0 0 1 0 0 0 0]"
F?bew,"[0 1 1 1 1 0 0]
[1 0 1 1 0 1 1]
[1 1 0 0 0 1 0]
[1 1 0 0 0 0 0]
[1 0 0 0 0 0 0]
[0 1 1 0 0 0 0]
[0 1 0 0 0 0 0]"
F?bbw,"[0 1 1 1 1 1 0]
[1 0 1 1 0 0 1]
[1 1 0 0 0 0 0]
[1 1 0 0 0 0 0]
[1 0 0 0 0 0 1]
[1 0 0 0 0 0 0]
[0 1 0 0 1 0 0]"
F?bfw,"[0 1 1 1 1 1 1]
[1 0 1 1 1 0 0]
[1 1 0 0 0 1 0]
[1 1 0 0 0 0 0]
[1 1 0 0 0 0 0]
[1 0 1 0 0 0 0]
[1 0 0 0 0 0 0]"
F?`v?,"[0 1 1 1 0 0 0]
[1 0 0 0 1 0 0]
[1 0 0 0 1 0 0]
[1 0 0 0 0 0 0]
[0 1 1 0 0 1 0]
[0 0 0 0 1 0 1]
[0 0 0 0 0 1 0]"
F?`uO,"[0 1 1 1 0 0 0]
[1 0 0 0 1 0 0]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]
[0 1 0 0 0 1 1]
[0 0 0 0 1 0 1]
[0 0 0 0 1 1 0]"
F?`v_,"[0 1 1 1 1 0 0]
[1 0 0 0 0 1 0]
[1 0 0 0 0 0 1]
[1 0 0 0 0 0 1]
[1 0 0 0 0 0 1]
[0 1 0 0 0 0 0]
[0 0 1 1 1 0 0]"
F?`vO,"[0 1 1 1 0 0 0]
[1 0 0 0 1 0 0]
[1 0 0 0 1 0 0]
[1 0 0 0 0 0 0]
[0 1 1 0 0 1 1]
[0 0 0 0 1 0 1]
[0 0 0 0 1 1 0]"
F?`vG,"[0 1 1 1 1 0 0]
[1 0 1 1 0 1 0]
[1 1 0 0 0 0 0]
[1 1 0 0 0 0 0]
[1 0 0 0 0 0 0]
[0 1 0 0 0 0 1]
[0 0 0 0 0 1 0]"
F?`uW,"[0 1 1 1 1 0 0]
[1 0 1 0 0 1 1]
[1 1 0 0 0 0 0]
[1 0 0 0 0 0 0]
[1 0 0 0 0 0 0]
[0 1 0 0 0 0 1]
[0 1 0 0 0 1 0]"
F?`vo,"[0 1 1 1 1 1 0]
[1 0 1 0 0 0 0]
[1 1 0 0 0 0 0]
[1 0 0 0 0 0 1]
[1 0 0 0 0 0 1]
[1 0 0 0 0 0 1]
[0 0 0 1 1 1 0]"
