Graph String Name,Masrik Form of Adjacency Matrix
E?Bw,"[0 1 1 1 1 1]
[1 0 0 0 0 0]
[1 0 0 0 0 0]
[1 0 0 0 0 0]
[1 0 0 0 0 0]
[1 0 0 0 0 0]"
E?bo,"[0 1 1 1 1 0]
[1 0 0 0 0 1]
[1 0 0 0 0 0]
[1 0 0 0 0 0]
[1 0 0 0 0 0]
[0 1 0 0 0 0]"
E?bw,"[0 1 1 1 1 1]
[1 0 1 0 0 0]
[1 1 0 0 0 0]
[1 0 0 0 0 0]
[1 0 0 0 0 0]
[1 0 0 0 0 0]"
E?qo,"[0 1 1 0 0 0]
[1 0 0 1 0 0]
[1 0 0 0 0 0]
[0 1 0 0 1 1]
[0 0 0 1 0 0]
[0 0 0 1 0 0]"
E?ow,"[0 1 1 1 0 0]
[1 0 0 0 1 1]
[1 0 0 0 0 0]
[1 0 0 0 0 0]
[0 1 0 0 0 0]
[0 1 0 0 0 0]"
E?ro,"[0 1 1 1 1 0]
[1 0 0 0 0 1]
[1 0 0 0 0 1]
[1 0 0 0 0 0]
[1 0 0 0 0 0]
[0 1 1 0 0 0]"
E?qw,"[0 1 1 1 0 0]
[1 0 1 0 1 1]
[1 1 0 0 0 0]
[1 0 0 0 0 0]
[0 1 0 0 0 0]
[0 1 0 0 0 0]"
E?rw,"[0 1 1 1 1 1]
[1 0 1 1 0 0]
[1 1 0 0 0 0]
[1 1 0 0 0 0]
[1 0 0 0 0 0]
[1 0 0 0 0 0]"
E?zO,"[0 1 1 1 0 0]
[1 0 0 0 1 0]
[1 0 0 0 1 0]
[1 0 0 0 0 0]
[0 1 1 0 0 1]
[0 0 0 0 1 0]"
E?zo,"[0 1 1 1 1 0]
[1 0 0 0 0 1]
[1 0 0 0 0 1]
[1 0 0 0 0 1]
[1 0 0 0 0 0]
[0 1 1 1 0 0]"
