Graph String Name,Masrik Form of adjacency matrix
J?AEB?oE?W?,"[0 1 1 0 0 0 0 0 0 0 0]
[1 0 0 1 0 0 0 0 0 0 0]
[1 0 0 0 1 0 0 0 0 0 0]
[0 1 0 0 0 1 0 0 0 0 0]
[0 0 1 0 0 0 1 0 0 0 0]
[0 0 0 1 0 0 0 1 0 0 0]
[0 0 0 0 1 0 0 0 1 0 0]
[0 0 0 0 0 1 0 0 0 1 0]
[0 0 0 0 0 0 1 0 0 0 1]
[0 0 0 0 0 0 0 1 0 0 1]
[0 0 0 0 0 0 0 0 1 1 0]"
J?AEAGoI?o?,"[0 1 1 0 0 0 0 0 0 0 0]
[1 0 0 1 0 0 0 0 0 0 0]
[1 0 0 0 1 0 0 0 0 0 0]
[0 1 0 0 1 0 0 0 0 0 0]
[0 0 1 1 0 0 0 0 0 0 0]
[0 0 0 0 0 0 1 1 0 0 0]
[0 0 0 0 0 1 0 0 1 0 0]
[0 0 0 0 0 1 0 0 0 1 0]
[0 0 0 0 0 0 1 0 0 0 1]
[0 0 0 0 0 0 0 1 0 0 1]
[0 0 0 0 0 0 0 0 1 1 0]"
J?ABBAOE?W?,"[0 1 1 0 0 0 0 0 0 0 0]
[1 0 0 1 0 0 0 0 0 0 0]
[1 0 0 1 0 0 0 0 0 0 0]
[0 1 1 0 0 0 0 0 0 0 0]
[0 0 0 0 0 1 1 0 0 0 0]
[0 0 0 0 1 0 0 1 0 0 0]
[0 0 0 0 1 0 0 0 1 0 0]
[0 0 0 0 0 1 0 0 0 1 0]
[0 0 0 0 0 0 1 0 0 0 1]
[0 0 0 0 0 0 0 1 0 0 1]
[0 0 0 0 0 0 0 0 1 1 0]"
J?ACJ@_E?o?,"[0 1 1 0 0 0 0 0 0 0 0]
[1 0 0 1 0 0 0 0 0 0 0]
[1 0 0 1 0 0 0 0 0 0 0]
[0 1 1 0 0 0 0 0 0 0 0]
[0 0 0 0 0 1 1 0 0 0 0]
[0 0 0 0 1 0 0 1 0 0 0]
[0 0 0 0 1 0 0 1 0 0 0]
[0 0 0 0 0 1 1 0 0 0 0]
[0 0 0 0 0 0 0 0 0 1 1]
[0 0 0 0 0 0 0 0 1 0 1]
[0 0 0 0 0 0 0 0 1 1 0]"
J?ACJ@OI?o?,"[0 1 1 0 0 0 0 0 0 0 0]
[1 0 0 1 0 0 0 0 0 0 0]
[1 0 0 0 1 0 0 0 0 0 0]
[0 1 0 0 0 1 0 0 0 0 0]
[0 0 1 0 0 0 1 0 0 0 0]
[0 0 0 1 0 0 0 1 0 0 0]
[0 0 0 0 1 0 0 1 0 0 0]
[0 0 0 0 0 1 1 0 0 0 0]
[0 0 0 0 0 0 0 0 0 1 1]
[0 0 0 0 0 0 0 0 1 0 1]
[0 0 0 0 0 0 0 0 1 1 0]"
J?`@CPCK?c?,"[0 1 1 0 0 0 0 0 0 0 0]
[1 0 1 0 0 0 0 0 0 0 0]
[1 1 0 0 0 0 0 0 0 0 0]
[0 0 0 0 1 1 0 0 0 0 0]
[0 0 0 1 0 0 1 0 0 0 0]
[0 0 0 1 0 0 0 1 0 0 0]
[0 0 0 0 1 0 0 1 0 0 0]
[0 0 0 0 0 1 1 0 0 0 0]
[0 0 0 0 0 0 0 0 0 1 1]
[0 0 0 0 0 0 0 0 1 0 1]
[0 0 0 0 0 0 0 0 1 1 0]"
J?BDtrc]Aw?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 1 1 0 1 0 0]
[1 0 0 0 0 1 1 0 1 0 0]
[1 0 0 0 0 0 0 1 1 1 0]
[0 1 1 1 0 0 0 0 0 0 1]
[0 1 1 1 0 0 0 0 0 0 1]
[0 1 0 0 1 0 0 0 0 1 1]
[0 0 1 1 1 0 0 0 0 1 0]
[0 0 0 0 1 0 0 1 1 0 1]
[0 0 0 0 0 1 1 1 0 1 0]"
J?BDlXw]Eo?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 1 1 0 1 0 0]
[1 0 0 0 0 1 0 1 1 0 0]
[1 0 0 0 0 1 0 0 1 1 0]
[0 1 1 1 1 0 0 0 0 0 0]
[0 1 1 0 0 0 0 0 0 1 1]
[0 1 0 1 0 0 0 0 0 1 1]
[0 0 1 1 1 0 0 0 0 0 1]
[0 0 0 0 1 0 1 1 0 0 1]
[0 0 0 0 0 0 1 1 1 1 0]"
J?BDjYw]Eo?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 1 1 0 1 0 0]
[1 0 0 0 0 0 0 1 1 1 0]
[1 0 0 0 0 1 0 1 1 0 0]
[0 1 1 0 1 0 0 0 0 0 1]
[0 1 1 0 0 0 0 0 0 1 1]
[0 1 0 1 1 0 0 0 0 1 0]
[0 0 1 1 1 0 0 0 0 0 1]
[0 0 0 1 0 0 1 1 0 0 1]
[0 0 0 0 0 1 1 0 1 1 0]"
J?BDhxwyEo?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 1 1 0 1 0 0]
[1 0 0 0 0 1 0 1 1 0 0]
[1 0 0 0 0 0 0 1 1 1 0]
[0 1 1 1 0 0 0 0 0 1 0]
[0 1 1 0 0 0 0 0 0 1 1]
[0 1 0 1 1 0 0 0 0 0 1]
[0 0 1 1 1 0 0 0 0 0 1]
[0 0 0 0 1 1 1 0 0 0 1]
[0 0 0 0 0 0 1 1 1 1 0]"
